,TPR,FPR,TPR_clear,FPR_clear
388,0.72458,0.039410893,0.9605891,0.27541998
389,0.7221114,0.039022587,0.96097744,0.27788857
390,0.7196721,0.038592547,0.9614075,0.2803279
391,0.7167292,0.03819792,0.96180207,0.28327078
392,0.71345985,0.037651513,0.96234846,0.28654015
393,0.7096638,0.037144314,0.9628557,0.2903362
394,0.7052318,0.036523283,0.9634767,0.29476824
395,0.69975716,0.035811182,0.9641888,0.30024284
396,0.6922744,0.03489418,0.96510583,0.3077256
397,0.6820105,0.03356737,0.96643263,0.31798953
398,0.66409284,0.031315967,0.968684,0.33590713
399,0.0,0.0,0.98424906,0.5440025
